data.bams..SRR1029151.alignments_sorted_subsampled.bam	data.bams..SRR1029152.alignments_sorted_subsampled.bam	data.bams..SRR1029153.alignments_sorted_subsampled.bam	data.bams..SRR1029156.alignments_sorted_subsampled.bam	data.bams..SRR1029157.alignments_sorted_subsampled.bam	data.bams..SRR1029158.alignments_sorted_subsampled.bam
YBL088C	50	34	25	33	33	58
YBL087C	31	24	21	18	22	27
YBL086C	10	18	16	23	19	47
YBL085W	49	52	55	40	26	53
YBL084C	22	25	33	32	29	45
YBL083C	0	0	0	0	0	0
YBL082C	18	11	19	6	10	7
YBL081W	18	16	18	4	4	3
YBL080C	34	46	49	18	22	28
YBL079W	56	63	42	38	42	68
YBL078C	11	10	10	10	25	30
YBL077W	0	0	1	0	0	1
YBL076C	144	119	109	81	88	109
YBL075C	36	54	33	184	208	205
YBL074C	7	10	2	4	4	9
YBL073W	0	0	1	1	0	2
snR56	0	0	0	0	0	0
YBL072C	10	22	17	15	15	20
YBL071C-B	0	0	0	0	0	0
YBL071W-A	3	2	4	6	6	9
YBL071C	5	2	1	2	2	3
YBL070C	0	1	1	0	0	0
YBL069W	7	7	7	3	4	7
YBL068W-A	0	0	0	0	0	0
YBL068W	14	17	15	18	11	22
YBL067C	32	49	33	69	67	100
YBL066C	40	47	51	34	22	31
YBL065W	0	0	0	0	0	0
YBL064C	32	46	46	60	53	81
YBL063W	27	42	33	23	23	23
YBL062W	0	0	0	0	0	0
YBL061C	33	22	19	14	17	19
YBL060W	21	21	25	19	23	28
YBL059C-A	18	15	19	18	8	19
YBL059W	17	14	13	9	7	10
YBL058W	51	68	59	71	59	64
YBL057C	14	17	18	13	13	26
YBL056W	76	78	57	56	64	84
YBL055C	22	24	19	15	14	27
YBL054W	8	8	9	7	13	19
YBL053W	0	0	0	0	0	0
YBL052C	36	24	22	16	14	20
YBL051C	39	40	40	28	48	51
YBL050W	49	34	29	40	38	30
YBL049W	16	19	12	21	28	37
YBL048W	15	6	10	7	9	12
YBL047C	104	107	99	119	104	129
YBL046W	26	21	29	13	12	21
YBL045C	132	134	136	114	115	105
YBL044W	0	0	0	0	0	0
YBL043W	51	50	57	22	20	27
YBL042C	45	39	28	36	36	42
YBL041W	47	49	37	38	44	51
YBL040C	20	36	22	22	21	26
YBL039W-B	2	5	5	13	6	10
YBL039C	27	34	12	12	10	19
YBL039C-A	0	0	0	0	0	0
YBL038W	29	25	31	25	16	30
YBL037W	45	39	39	26	21	35
YBL036C	22	24	25	24	19	26
YBL035C	23	33	20	7	10	13
YBL034C	31	49	30	17	20	37
YBL033C	35	31	31	39	28	43
YBL032W	35	43	26	32	18	26
YBL031W	9	10	8	5	4	2
YBL030C	88	98	108	63	75	79
YBL029C-A	10	8	11	12	15	23
YBL029W	12	14	12	12	15	17
YBL028C	13	13	8	6	9	5
YBL027W	39	48	41	53	50	43
YBL026W	15	14	10	19	11	13
YBL025W	7	11	5	11	4	15
YBL024W	41	42	39	23	23	31
YBL023C	22	36	14	32	35	43
YBL022C	143	142	131	97	93	121
YBL021C	18	22	13	12	7	11
YBL020W	38	45	40	20	21	36
YBL019W	19	17	17	19	19	24
YBL018C	8	17	14	14	13	17
YBL017C	113	86	54	59	70	84
YBL016W	32	24	33	12	13	18
YBL015W	124	148	131	74	75	78
tI(AAU)B	0	0	0	0	0	0
tG(GCC)B	0	0	0	0	0	0
YBL014C	21	19	19	21	25	26
YBL013W	3	6	1	6	6	6
YBL012C	1	1	0	1	1	2
YBL011W	38	37	44	43	20	28
YBL010C	15	16	12	18	9	14
YBL009W	41	56	42	22	21	22
YBL008W-A	0	0	0	0	0	0
YBL008W	33	31	37	13	12	19
YBL007C	72	97	90	94	89	100
YBL006C	9	16	10	7	9	18
YBL006W-A	0	0	0	0	0	0
YBL005W	24	30	20	17	10	26
YBL005W-B	0	0	0	0	0	0
YBL005W-A	0	0	0	0	0	0
tS(AGA)B	0	0	0	0	0	0
YBL004W	42	42	35	35	27	61
YBL003C	45	46	38	20	19	19
YBL002W	36	39	34	17	17	13
YBL001C	15	32	11	19	20	29
YBR001C	38	28	36	30	49	62
YBR002C	9	17	13	15	16	21
YBR003W	21	37	62	14	25	19
YBR004C	17	18	18	11	9	19
YBR005W	8	14	14	26	24	26
YBR006W	26	34	34	30	52	66
YBR007C	26	19	26	5	6	14
YBR008C	27	22	25	14	20	38
YBR009C	28	28	19	17	19	28
YBR010W	37	24	28	30	21	31
YBR011C	60	64	67	54	58	61
YBR012C	9	5	7	5	5	6
YBR012W-B	0	0	0	0	0	0
YBR012W-A	0	0	0	0	0	0
YBR013C	5	3	6	1	1	1
tT(AGU)B	0	0	0	0	0	0
YBR014C	14	21	20	18	15	24
YBR015C	72	70	58	49	45	70
YBR016W	9	20	22	17	17	19
YBR017C	40	47	38	39	43	59
YBR018C	1	2	2	5	3	5
YBR019C	7	11	15	7	11	12
YBR020W	6	4	4	11	11	14
YBR021W	34	28	17	8	10	18
YBR022W	17	16	17	8	7	15
YBR023C	69	78	52	40	50	58
YBR024W	23	25	23	14	23	26
YBR025C	71	75	59	84	54	83
YBR026C	38	48	46	101	96	103
YBR027C	1	2	3	3	1	0
YBR028C	43	42	37	19	14	27
YBR029C	72	85	57	54	58	60
YBR030W	16	16	14	9	12	16
YBR031W	10	12	19	14	9	17
YBR032W	3	0	0	1	2	1
YBR033W	34	39	33	18	13	20
YBR034C	25	40	15	16	16	25
YBR035C	26	26	33	37	41	33
snR161	0	0	0	0	0	0
TLC1	35	39	42	13	14	25
YBR036C	59	70	63	57	56	80
YBR037C	29	33	29	14	11	15
YBR038W	16	22	35	56	42	36
YBR039W	72	84	78	55	64	63
YBR040W	1	3	2	1	2	1
YBR041W	34	60	33	23	21	38
YBR042C	28	21	12	18	15	18
YBR043C	28	26	21	53	44	70
YBR044C	39	43	36	30	23	25
tV(UAC)B	0	0	0	0	0	0
YBR045C	6	12	9	31	42	52
YBR046C	35	27	34	72	65	96
YBR047W	5	9	7	12	19	30
YBR048W	35	46	41	21	20	25
YBR049C	68	92	77	84	49	72
YBR050C	13	16	11	21	15	12
YBR051W	1	0	1	1	1	0
YBR052C	23	29	27	29	32	37
YBR053C	36	31	33	50	55	69
YBR054W	51	51	44	74	94	149
YBR055C	29	34	28	18	35	37
tL(UAA)B2	0	0	0	0	0	0
YBR056W	23	39	33	67	83	82
tQ(UUG)B	0	0	0	0	0	0
YBR056W-A	0	2	2	0	0	1
YBR056C-B	0	0	0	0	0	0
YBR057C	28	32	28	33	36	49
YBR058C	41	50	39	45	52	62
YBR058C-A	13	14	14	13	21	27
YBR059C	37	54	52	55	53	73
YBR060C	24	27	21	11	14	29
YBR061C	19	18	13	14	7	8
YBR062C	17	20	16	28	24	30
YBR063C	12	18	10	11	13	14
YBR064W	0	0	0	0	0	1
YBR065C	16	11	7	5	16	14
YBR066C	20	12	16	5	9	16
YBR067C	53	59	57	97	87	83
YBR068C	89	80	92	95	76	91
YBR069C	6	13	9	4	11	11
YBR070C	21	17	11	12	11	15
YBR071W	22	25	26	34	50	39
YBR072W	67	65	47	85	102	100
YBR072C-A	0	0	0	0	1	1
YBR073W	63	66	51	40	32	48
YBR074W	53	42	38	25	37	48
YBR076W	5	1	2	12	3	6
YBR076C-A	0	7	6	6	3	8
YBR077C	19	18	15	12	19	20
YBR078W	114	144	136	85	87	83
YBR079C	82	107	90	61	61	60
YBR080C	47	58	58	31	28	64
YBR081C	64	61	42	46	57	67
tR(UCU)B	0	0	0	0	0	0
tD(GUC)B	0	0	0	0	0	0
YBR082C	40	40	45	21	37	34
YBR083W	38	45	48	29	44	37
YBR084W	61	68	30	15	25	41
YBR084C-A	52	43	40	38	42	33
YBR085W	3	1	0	1	2	0
YBR085C-A	21	17	26	39	31	32
YBR086C	76	90	91	89	90	121
YBR087W	23	24	15	11	21	20
YBR088C	4	5	2	2	3	5
YBR089W	1	0	0	0	0	0
YBR089C-A	6	10	15	19	14	12
YBR090C	2	0	0	0	1	3
YBR091C	4	11	10	3	5	6
YBR092C	10	10	4	3	13	13
YBR093C	3	4	5	2	3	4
YBR094W	39	43	30	36	35	48
YBR095C	17	21	25	17	20	41
YBR096W	19	20	25	10	14	15
YBR097W	17	25	16	27	31	51
YBR098W	29	18	15	15	10	19
YBR099C	0	0	0	0	0	0
YBR101C	39	40	33	63	62	61
YBR102C	23	23	17	21	26	19
YBR103W	22	38	35	42	27	44
YBR103C-A	0	0	1	0	0	0
YBR104W	19	13	4	8	10	9
YBR105C	12	13	10	8	7	8
YBR106W	51	41	43	36	42	49
YBR107C	12	12	6	11	14	17
YBR108W	22	30	24	31	19	44
YBR109C	33	30	34	28	24	40
YBR109W-A	1	1	4	0	2	1
YBR110W	30	30	25	24	18	31
YBR111C	32	29	35	46	35	42
YBR111W-A	9	14	8	9	11	12
YBR112C	70	88	74	62	55	62
YBR113W	6	2	2	0	3	7
YBR114W	13	12	14	10	12	22
