data.bams..SRR1029151.alignments_sorted_subsampled.bam	data.bams..SRR1029152.alignments_sorted_subsampled.bam	data.bams..SRR1029153.alignments_sorted_subsampled.bam	data.bams..SRR1029156.alignments_sorted_subsampled.bam	data.bams..SRR1029157.alignments_sorted_subsampled.bam	data.bams..SRR1029158.alignments_sorted_subsampled.bam
YCR024C	30	34	34	14	11	17
YCR024C-B	21	26	19	26	33	30
YCR024C-A	17	21	18	17	24	18
YCR025C	4	0	2	2	1	4
YCR026C	37	61	45	39	43	51
YCR027C	8	10	12	9	12	13
tQ(UUG)C	0	0	0	0	0	0
YCR028C	22	31	27	17	28	39
YCR028C-A	37	31	32	35	31	30
YCR030C	53	51	56	63	58	92
snR65	1	0	0	0	0	1
YCR031C	23	29	25	21	17	22
snR189	0	0	0	1	0	0
YCR032W	31	34	35	39	38	58
YCR033W	52	46	39	48	36	57
YCR034W	33	46	51	36	24	22
YCR035C	28	32	27	18	22	22
YCR036W	28	30	23	19	36	44
YCR037C	40	38	37	38	33	37
YCR038C	9	5	7	13	8	10
YCR038W-A	0	0	0	0	0	0
YCR039C	0	0	0	0	0	0
YCR040W	0	0	0	0	0	0
YCR041W	0	0	0	0	0	0
YCR042C	39	49	31	60	52	82
YCR043C	13	11	17	8	8	10
YCR044C	31	23	21	25	8	28
YCR045C	6	10	9	9	10	10
YCR045W-A	0	0	0	0	0	0
YCR046C	23	20	30	15	9	22
YCR047C	8	10	5	7	8	19
YCR047W-A	0	0	0	0	0	0
YCR049C	1	0	0	0	1	0
YCR048W	4	8	2	10	13	27
YCR050C	0	0	0	0	0	0
YCR051W	12	19	13	31	29	49
YCR052W	23	25	33	19	18	30
YCR053W	66	62	63	48	44	78
YCR054C	16	15	12	12	7	22
YCR057C	17	30	22	12	14	23
YCR059C	14	24	20	13	11	17
YCR060W	7	10	4	5	5	7
YCR061W	11	26	20	35	28	44
tS(CGA)C	0	0	0	0	0	0
YCR064C	0	1	0	0	0	0
YCR063W	4	0	5	0	3	7
YCR065W	32	35	31	17	15	18
YCR066W	10	14	11	9	11	9
YCR067C	41	48	44	25	33	39
YCR068W	18	35	19	19	32	41
YCR069W	44	49	49	48	38	57
YCR071C	23	26	31	21	9	16
YCR072C	4	8	10	3	7	9
YCR073C	13	25	14	10	10	21
YCR073W-A	23	26	27	29	31	30
YCR075C	11	18	11	12	12	22
YCR075W-A	3	10	9	2	7	5
YCR076C	21	25	19	16	21	32
YCR077C	56	57	49	40	50	64
YCR079W	25	28	30	25	30	44
YCR081W	31	22	5	22	16	17
YCR081C-A	0	0	0	0	0	0
YCR082W	16	18	24	33	19	31
YCR083W	10	18	18	19	19	21
YCR084C	74	80	102	65	64	74
YCR085W	1	0	0	0	0	0
YCR086W	12	20	13	15	9	14
YCR087W	0	0	0	0	0	0
YCR087C-A	0	0	0	0	0	0
YCR088W	51	63	59	43	50	57
YCR089W	28	27	20	12	16	20
YCR090C	16	13	20	12	10	15
YCR091W	16	16	23	24	29	34
YCR092C	22	17	23	15	9	20
YCR093W	66	73	64	67	50	78
YCR094W	14	18	20	14	20	32
YCR095C	17	23	13	11	15	29
YCR095W-A	0	2	1	0	1	1
YCR096C	0	0	0	0	0	0
YCR097W	0	0	0	0	0	0
YCR097W-A	0	0	0	0	0	0
tT(AGU)C	0	0	0	0	0	0
YCR098C	11	4	10	12	3	5
YCR099C	2	0	0	2	3	3
YCR100C	1	2	2	4	1	10
YCR101C	0	3	1	2	3	4
YCR102C	32	36	21	10	11	32
YCR102W-A	6	5	8	2	2	4
YCR104W	0	0	0	0	1	0
YCR105W	0	0	0	0	0	0
YCR106W	0	1	0	0	0	0
YCR107W	0	0	0	0	0	0
YCR108C	0	1	0	0	0	0
YDL248W	11	9	10	8	10	14
YDL247W-A	0	2	0	0	1	0
YDL247W	0	0	1	0	0	1
YDL246C	1	0	0	1	0	1
YDL245C	0	3	3	1	0	0
YDL244W	3	8	5	5	2	7
YDL243C	7	15	12	2	8	12
YDL242W	1	2	1	0	2	1
YDL241W	0	1	0	1	1	0
YDL240C-A	0	0	0	0	0	0
YDL240W	40	36	36	29	25	34
YDL239C	21	22	20	31	31	37
YDL238C	12	15	9	17	14	11
YDL237W	37	47	25	22	25	43
YDL236W	41	29	33	16	18	43
YDL235C	15	14	16	13	16	21
YDL234C	46	37	50	62	56	84
YDL233W	19	12	13	24	15	23
YDL232W	7	6	5	3	7	10
YDL231C	56	60	29	34	46	46
YDL230W	13	12	11	9	8	14
YDL229W	32	25	25	12	13	19
YDL228C	0	0	0	0	0	0
YDL227C	56	52	45	2	9	23
YDL226C	40	33	34	22	31	32
YDL225W	49	48	54	50	39	38
YDL224C	47	61	58	54	40	54
YDL223C	18	24	18	174	165	218
YDL222C	8	8	8	64	57	90
YDL221W	4	3	6	3	0	4
YDL220C	17	24	7	5	7	7
YDL219W	9	18	6	12	3	7
YDL218W	2	9	3	12	13	41
YDL217C	16	26	16	7	8	18
YDL216C	9	14	16	11	17	18
YDL215C	68	93	84	185	157	156
YDL214C	23	27	39	90	113	95
YDL213C	18	19	21	17	18	20
YDL212W	30	31	24	30	32	39
YDL211C	12	8	20	4	3	14
tG(GCC)D1	0	0	0	0	0	0
YDL210W	8	4	5	4	2	5
YDL209C	11	12	8	6	7	10
YDL208W	14	24	25	23	16	25
YDL207W	38	35	36	25	23	42
YDL206W	21	28	21	17	21	36
YDL205C	36	42	41	28	18	26
YDL204W	23	26	20	92	96	114
YDL203C	23	32	19	24	21	30
YDL202W	34	38	44	15	17	15
YDL201W	20	27	14	10	15	16
YDL200C	12	18	15	20	13	35
YDL199C	16	12	14	23	29	37
YDL198C	46	63	51	21	22	28
YDL197C	22	25	25	27	31	45
YDL196W	0	0	0	1	1	1
YDL195W	102	126	114	82	107	134
YDL194W	28	26	30	20	33	45
YDL193W	17	22	28	24	25	45
YDL192W	51	51	36	32	29	33
YDL191W	18	10	13	4	9	5
YDL190C	60	67	46	41	51	58
YDL189W	22	33	19	18	9	21
YDL188C	17	17	28	35	29	40
YDL187C	0	0	0	0	0	0
YDL186W	0	2	0	0	2	4
YDL185C-A	1	0	2	1	0	2
YDL185W	134	143	124	137	134	194
YDL184C	3	6	4	7	8	4
YDL183C	14	23	20	18	14	19
YDL182W	40	45	46	16	22	31
YDL181W	22	22	30	27	23	27
YDL180W	34	31	30	20	21	32
YDL179W	7	11	6	18	47	50
YDL178W	56	78	67	38	28	39
YDL177C	9	18	9	6	9	19
YDL176W	18	25	21	12	18	39
YDL175C	17	21	18	21	24	24
YDL174C	33	55	73	104	80	86
YDL173W	18	11	16	18	17	21
YDL172C	0	0	0	0	0	0
YDL171C	150	148	144	168	177	248
YDL170W	22	24	26	27	28	36
YDL169C	6	17	13	23	31	28
YDL168W	35	36	33	42	53	69
YDL167C	19	14	23	14	14	25
YDL166C	27	15	12	9	13	16
YDL165W	17	13	11	11	16	23
YDL164C	36	39	32	11	8	22
YDL163W	0	0	0	0	0	0
YDL162C	0	1	0	0	0	0
YDL161W	53	43	35	41	39	54
YDL160C-A	7	3	7	4	6	8
YDL160C	16	15	17	25	14	33
YDL159W-A	0	0	0	0	0	0
YDL159W	7	21	15	11	13	15
YDL159C-B	0	0	0	0	0	0
YDL158C	1	8	2	2	1	5
YDL157C	12	18	9	9	11	11
YDL156W	13	12	10	4	5	11
YDL155W	31	39	39	33	21	31
YDL154W	19	13	9	15	11	18
YDL153C	19	28	18	30	27	39
YDL152W	0	0	0	0	0	0
YDL151C	0	0	1	0	0	0
YDL150W	7	7	9	9	7	7
YDL149W	21	24	16	22	27	53
YDL148C	31	35	14	23	17	19
YDL147W	72	92	75	109	76	109
YDL146W	12	13	8	7	9	18
YDL145C	97	129	85	87	83	87
YDL144C	28	40	34	27	26	38
YDL143W	64	72	48	62	63	74
YDL142C	21	16	8	21	23	18
YDL141W	30	38	31	24	25	38
YDL140C	85	112	96	97	99	131
YDL139C	4	3	3	3	5	8
YDL138W	27	38	30	29	30	54
YDL137W	44	45	46	39	46	62
YDL136W	6	8	5	7	13	7
YDL135C	33	26	30	28	21	35
YDL134C	32	28	37	39	40	59
YDL133C-A	7	5	6	10	2	5
YDL133W	19	28	26	26	31	39
YDL132W	66	69	39	72	62	96
YDL131W	49	43	44	30	26	41
YDL130W-A	18	33	17	24	32	31
YDL130W	23	33	23	29	23	38
YDL129W	5	11	6	13	11	15
YDL128W	37	47	48	44	56	61
YDL127W	9	7	10	7	8	6
YDL126C	174	177	188	182	206	199
YDL125C	34	25	34	49	46	43
YDL124W	53	55	52	71	71	81
YDL123W	10	15	11	12	19	19
YDL122W	72	65	51	41	50	64
YDL121C	22	12	14	16	15	21
YDL120W	19	19	18	9	14	18
YDL119C	5	10	8	5	7	11
YDL118W	0	0	0	0	0	2
YDL117W	26	19	31	37	44	45
YDL116W	40	57	45	32	33	35
YDL115C	28	38	43	44	30	42
YDL114W-A	0	0	0	0	0	0
YDL114W	1	6	2	0	3	8
YDL113C	37	24	25	44	45	56
YDL112W	36	51	33	40	34	46
YDL111C	13	20	10	12	19	20
YDL110C	24	29	27	38	46	44
YDL109C	8	13	8	9	12	25
YDL108W	17	15	18	10	10	21
YDL107W	28	39	22	12	14	17
YDL106C	28	31	30	34	26	43
YDL105W	12	9	2	6	4	11
YDL104C	23	19	18	13	14	22
YDL103C	43	34	34	36	27	36
YDL102W	33	40	21	16	27	25
YDL101C	41	34	32	22	18	29
YDL100C	65	69	48	61	56	68
YDL099W	37	39	30	41	42	53
YDL098C	10	8	4	5	4	12
YDL097C	65	66	57	72	71	85
YDL096C	0	0	0	0	0	0
YDL095W	94	76	51	43	51	62
YDL094C	0	1	1	1	0	0
YDL093W	29	42	28	14	14	26
YDL092W	11	16	14	12	16	11
YDL091C	28	31	34	38	45	53
YDL090C	20	14	16	19	24	29
YDL089W	14	22	19	19	20	25
YDL088C	38	39	26	24	26	45
YDL087C	4	6	3	8	5	6
YDL086W	8	10	8	15	14	19
YDL086C-A	0	0	0	0	0	0
YDL085C-A	8	5	12	3	6	4
YDL085W	11	20	18	89	91	109
YDL084W	85	91	85	91	78	100
YDL083C	26	33	35	27	29	38
YDL082W	44	38	35	36	30	38
YDL081C	30	34	32	34	29	42
YDL080C	30	53	28	29	19	48
YDL079C	30	40	45	34	56	49
YDL078C	61	57	62	79	83	103
YDL077C	27	29	22	31	31	33
YDL076C	18	20	23	24	15	26
YDL075W	36	26	26	28	24	31
snR63	2	0	1	0	0	0
YDL074C	55	58	58	49	52	66
YDL073W	44	50	25	20	34	40
YDL072C	33	30	24	32	36	52
YDL071C	0	3	0	6	1	4
YDL070W	42	58	52	56	62	74
YDL069C	6	3	8	5	3	4
YDL068W	0	1	0	0	0	0
YDL067C	14	17	18	13	19	13
YDL066W	62	72	76	45	47	57
YDL065C	37	31	31	46	34	52
YDL064W	26	21	22	13	14	22
YDL063C	16	23	11	8	13	12
YDL062W	1	1	0	0	2	0
YDL061C	20	15	14	14	8	14
YDL060W	28	30	35	17	20	38
YDL059C	21	28	16	7	10	15
YDL058W	49	50	37	47	47	76
YDL057W	10	15	13	11	11	23
YDL056W	46	35	30	25	24	43
YDL055C	99	104	105	62	73	104
tK(UUU)D	0	0	0	0	0	0
YDL054C	37	54	38	49	52	51
YDL053C	28	26	25	29	20	19
YDL052C	23	34	38	10	6	12
YDL051W	11	13	14	15	16	25
YDL050C	1	0	0	1	0	0
YDL049C	21	38	38	38	31	47
YDL048C	33	28	23	17	26	43
YDL047W	37	42	38	36	28	33
YDL046W	31	35	44	42	42	41
YDL045W-A	17	22	12	12	11	16
YDL045C	17	17	23	23	24	40
YDL044C	26	30	29	8	23	21
YDL043C	16	17	13	15	16	24
YDL042C	13	20	14	5	8	14
YDL041W	0	0	0	0	0	0
YDL040C	63	69	57	50	37	54
YDL039C	9	4	10	4	4	9
YDL037C	1	4	0	0	0	1
YDL036C	20	14	8	18	10	19
YDL035C	46	55	40	40	47	54
YDL034W	1	1	0	1	3	0
YDL033C	11	18	20	9	9	15
YDL032W	0	0	0	0	0	0
YDL031W	40	44	32	38	44	60
YDL030W	11	19	16	18	10	19
YDL029W	41	56	66	62	51	60
YDL028C	24	41	26	24	24	33
YDL027C	37	37	33	33	50	41
YDL026W	0	0	0	0	0	0
YDL025C	27	32	26	37	37	45
YDL025W-A	0	0	0	0	0	0
YDL024C	7	4	8	6	6	21
YDL022C-A	0	0	0	1	1	1
tA(AGC)D	0	0	0	0	0	0
YDL023C	0	0	0	0	0	0
YDL022W	44	39	47	54	50	74
YDL021W	24	21	15	19	33	33
YDL020C	64	69	55	68	94	97
YDL019C	61	47	57	65	65	93
YDL018C	26	29	15	8	12	27
YDL017W	13	21	12	7	3	14
YDL016C	2	1	3	0	5	1
YDL015C	43	42	38	45	45	47
YDL014W	35	45	38	21	24	22
YDL013W	30	32	20	18	19	37
YDL012C	13	20	11	11	15	19
YDL011C	0	0	0	0	0	0
YDL010W	4	7	5	10	5	10
YDL009C	4	4	5	5	5	6
YDL008W	22	27	12	15	25	27
tT(AGU)D	0	0	0	0	0	1
YDL007C-A	0	0	0	0	0	1
tS(AGA)D1	0	0	0	0	0	0
YDL007W	70	85	69	64	80	77
YDL006W	10	25	13	18	13	23
YDL005C	42	44	28	37	33	54
YDL004W	41	46	33	40	32	46
YDL003W	70	64	34	11	9	11
YDL002C	33	14	12	18	21	24
YDL001W	19	20	21	12	18	21
YDR001C	53	58	74	84	68	125
YDR002W	53	40	41	44	37	53
YDR003W	10	10	21	28	25	27
YDR003W-A	5	3	2	6	3	4
YDR004W	34	21	26	34	25	42
YDR005C	35	45	35	40	44	58
YDR006C	29	31	39	44	31	47
YDR007W	8	16	11	16	19	15
YDR008C	0	0	1	0	2	2
YDR009W	23	24	12	13	20	17
YDR010C	2	6	1	5	2	1
YDR011W	87	91	63	83	92	141
YDR012W	18	26	16	32	16	25
YDR013W	13	8	10	8	8	10
YDR014W	16	21	21	8	16	17
YDR014W-A	0	0	0	1	0	1
YDR015C	0	0	0	0	0	0
YDR016C	11	12	1	9	7	8
YDR017C	47	40	44	36	40	68
YDR018C	16	15	13	37	16	40
YDR019C	30	35	34	25	39	38
YDR020C	11	6	9	3	4	7
YDR021W	6	7	5	0	3	6
YDR022C	13	15	5	16	12	15
tV(UAC)D	0	0	1	0	0	0
YDR023W	83	82	74	64	52	69
YDR024W	2	0	1	1	0	0
YDR025W	32	29	34	28	21	26
YDR026C	44	27	20	28	20	43
YDR027C	39	51	51	35	30	52
YDR028C	80	95	84	72	84	127
YDR029W	5	7	2	9	5	7
YDR030C	8	13	6	22	26	36
YDR031W	11	12	18	10	7	5
YDR032C	36	48	49	53	63	64
YDR033W	87	90	69	51	83	66
YDR034C	46	56	42	31	29	55
YDR034C-D	0	0	0	0	0	0
YDR034C-C	0	0	0	0	0	0
tL(UAA)D	0	0	0	0	0	0
YDR034C-A	5	3	7	7	3	6
tQ(UUG)D1	0	0	0	0	0	0
YDR034W-B	2	3	1	3	7	8
YDR035W	26	30	21	29	35	48
YDR036C	5	6	7	3	6	6
YDR037W	11	15	14	4	6	7
YDR038C	0	0	0	2	1	0
YDR039C	0	0	0	0	0	0
YDR040C	4	4	2	4	6	6
YDR041W	43	40	28	18	19	26
YDR042C	3	2	2	1	3	1
snR47	1	0	1	0	0	0
YDR043C	20	26	29	32	45	40
YDR044W	41	22	35	13	18	28
YDR045C	4	8	3	0	3	9
YDR046C	14	10	6	2	4	4
YDR047W	37	45	21	28	29	24
YDR048C	0	0	0	0	0	0
YDR049W	25	19	16	11	8	12
YDR050C	77	84	80	80	74	70
YDR051C	26	34	32	34	26	30
YDR052C	42	38	39	26	37	56
YDR053W	0	0	0	0	0	0
YDR054C	32	42	31	41	47	46
YDR055W	22	26	17	54	79	90
YDR056C	24	26	27	24	23	23
YDR057W	29	30	25	22	27	34
YDR058C	10	16	14	10	4	20
tR(UCU)D	0	0	0	0	0	0
tD(GUC)D	0	0	0	0	0	0
YDR059C	10	23	14	27	34	31
YDR060W	58	56	45	35	33	61
YDR061W	55	66	54	30	32	30
YDR062W	59	71	50	58	47	52
YDR063W	10	21	13	23	13	23
YDR064W	34	26	36	33	29	42
YDR065W	14	10	14	13	8	19
YDR066C	10	10	6	4	10	18
YDR067C	9	12	11	15	8	20
YDR068W	34	32	29	18	23	30
YDR069C	22	20	22	18	25	37
YDR070C	10	7	7	33	38	30
YDR071C	24	36	27	34	42	32
YDR072C	41	44	52	44	35	54
YDR073W	12	10	10	23	22	29
YDR074W	56	66	88	144	149	190
YDR075W	21	26	18	26	26	22
YDR076W	13	11	14	18	17	13
YDR077W	117	103	88	126	125	106
YDR078C	9	21	6	6	12	21
YDR079W	16	16	13	7	12	14
YDR079C-A	1	4	5	5	7	8
YDR080W	30	44	35	23	37	51
YDR081C	30	47	41	25	36	57
YDR082W	21	20	14	13	16	25
YDR083W	14	22	17	9	10	16
YDR084C	11	13	17	18	22	29
YDR085C	21	27	32	42	40	54
YDR086C	20	24	17	21	14	14
YDR087C	12	22	11	17	17	20
YDR088C	16	26	20	8	14	28
tR(ACG)D	0	0	0	0	0	0
YDR089W	45	38	29	15	20	26
YDR090C	23	34	29	16	25	42
YDR091C	60	75	50	34	58	70
YDR092W	21	25	19	11	20	26
YDR093W	32	52	35	24	9	14
YDR094W	0	0	0	0	0	0
YDR095C	0	0	0	0	0	0
YDR096W	47	40	43	57	60	82
YDR097C	58	53	41	19	32	56
YDR098C	29	38	25	24	23	24
tQ(UUG)D2	0	0	0	0	0	0
YDR098C-B	0	0	1	0	1	0
YDR098C-A	0	0	0	0	0	0
YDR099W	45	62	65	74	60	77
YDR100W	18	12	21	17	14	16
YDR101C	26	35	25	16	19	26
YDR102C	0	0	0	0	1	1
YDR103W	20	29	21	14	13	37
YDR104C	33	27	22	20	29	54
YDR105C	39	41	31	30	43	46
YDR106W	2	3	4	7	6	12
tI(AAU)D	0	0	0	0	0	0
YDR107C	19	13	15	10	16	18
YDR108W	30	32	22	23	22	26
YDR109C	21	33	24	24	17	31
YDR110W	21	31	18	17	22	23
YDR111C	7	6	10	32	38	45
YDR112W	0	0	0	0	0	0
YDR113C	27	43	38	19	20	17
YDR114C	0	0	0	1	0	0
YDR115W	17	16	18	9	6	11
YDR116C	30	42	36	21	15	32
YDR117C	23	27	20	13	16	27
YDR118W	29	35	13	16	23	21
YDR118W-A	0	0	0	1	0	0
YDR119W	50	57	34	45	49	65
YDR119W-A	13	12	14	19	23	19
YDR120C	50	44	33	29	22	41
YDR121W	10	14	14	6	20	20
YDR122W	27	41	46	43	37	69
YDR123C	14	26	26	11	11	23
YDR124W	13	14	10	5	13	6
YDR125C	12	8	11	3	6	8
YDR126W	12	8	7	11	4	17
YDR127W	109	145	105	105	112	108
YDR128W	32	39	20	30	38	38
YDR129C	66	90	72	110	109	117
YDR130C	17	21	17	14	12	13
YDR131C	19	23	14	19	14	26
YDR132C	31	32	18	21	17	34
YDR133C	3	3	8	8	14	9
YDR134C	21	16	19	14	16	18
YDR135C	80	78	53	63	49	85
YDR136C	2	0	1	1	0	1
YDR137W	29	27	22	25	29	34
YDR138W	19	39	24	12	18	32
YDR139C	7	19	11	9	15	21
YDR140W	14	19	10	9	11	14
YDR141C	49	46	39	41	44	70
YDR142C	18	14	17	26	16	32
YDR143C	21	24	20	32	29	21
YDR144C	20	14	12	9	13	7
YDR145W	54	65	55	50	52	52
YDR146C	20	18	46	54	34	21
YDR147W	31	36	24	25	20	22
YDR148C	106	113	106	106	87	102
YDR149C	0	0	0	0	0	0
YDR150W	74	97	72	79	70	95
YDR151C	18	19	14	13	14	15
YDR152W	25	28	25	22	26	50
YDR153C	27	29	43	22	24	35
YDR154C	0	5	1	3	0	1
YDR155C	25	24	29	17	27	25
YDR156W	5	7	3	13	2	11
YDR157W	0	1	0	2	0	0
YDR158W	70	73	60	57	51	71
YDR159W	27	34	29	21	23	28
YDR160W	15	22	21	37	18	46
YDR161W	17	15	16	18	17	36
YDR162C	12	13	15	17	16	23
YDR163W	15	20	12	19	24	21
YDR164C	46	35	25	22	23	36
YDR165W	16	22	20	15	14	20
YDR166C	42	39	20	35	38	55
YDR167W	23	23	18	24	19	33
YDR168W	63	48	62	52	56	70
YDR169C	34	37	27	29	32	36
YDR169C-A	0	0	2	1	0	0
YDR170C	80	103	75	66	73	92
tQ(UUG)D3	0	0	0	0	0	0
YDR170W-A	0	0	0	0	0	0
YDR171W	50	63	39	106	131	117
YDR172W	79	93	79	79	72	105
YDR173C	15	12	9	16	21	27
YDR174W	38	49	43	28	28	36
YDR175C	47	47	56	20	21	16
YDR176W	43	64	50	37	57	70
YDR177W	33	39	32	48	52	52
YDR178W	40	60	59	44	47	51
YDR179C	10	8	9	6	10	11
YDR179W-A	21	15	13	12	11	17
YDR180W	21	36	28	21	18	35
YDR181C	25	34	14	40	35	38
YDR182W	30	42	38	31	32	36
YDR182W-A	2	4	1	0	3	2
YDR183W	17	9	10	7	7	12
YDR183C-A	1	0	1	3	1	1
YDR184C	7	7	4	6	3	4
YDR185C	1	3	2	8	4	12
YDR186C	74	66	66	57	62	98
YDR187C	2	1	0	3	1	0
YDR188W	66	87	68	78	68	91
YDR189W	41	58	35	28	37	54
YDR190C	64	64	50	53	51	56
YDR191W	6	12	9	12	10	8
YDR192C	9	12	10	7	6	13
YDR193W	0	0	0	0	0	0
YDR194C	95	94	94	42	43	39
YDR194W-A	0	0	0	0	0	0
YDR195W	20	26	20	36	29	31
YDR196C	13	32	14	31	25	33
YDR197W	21	25	14	20	12	23
YDR198C	21	25	24	17	18	14
YDR199W	1	0	0	0	2	0
YDR200C	29	33	22	26	18	28
YDR201W	18	16	12	13	15	14
YDR202C	16	16	13	19	31	34
YDR203W	0	0	0	0	0	0
YDR204W	17	37	21	35	41	45
YDR205W	20	21	22	17	15	21
YDR206W	42	59	42	45	43	55
YDR207C	27	27	16	26	24	51
YDR208W	46	58	28	57	46	68
YDR209C	4	3	8	4	2	1
YDR210W	0	0	0	0	0	0
YDR210W-B	0	1	1	0	1	0
YDR210W-A	0	0	0	0	0	0
YDR210C-D	0	1	1	0	0	0
YDR210C-C	0	0	0	0	0	0
tI(UAU)D	0	0	0	0	0	0
YDR211W	51	50	33	42	41	48
YDR212W	58	86	65	53	56	97
YDR213W	21	21	8	14	7	11
YDR214W	49	76	70	65	76	98
YDR215C	1	1	1	0	1	0
YDR216W	78	115	82	75	69	140
YDR217C	50	33	37	31	23	43
YDR218C	8	10	5	8	15	18
YDR219C	38	49	33	31	27	29
YDR220C	1	1	3	2	0	3
YDR221W	29	47	33	25	33	50
YDR222W	20	13	15	16	18	21
YDR223W	7	8	13	52	79	77
YDR224C	43	53	46	36	46	42
YDR225W	37	53	41	28	40	38
YDR226W	46	66	49	43	40	49
YDR227W	55	57	40	43	36	55
YDR228C	32	54	37	33	32	45
YDR229W	23	33	25	35	32	53
YDR230W	1	2	1	2	1	2
YDR231C	12	7	9	13	13	9
YDR232W	73	62	53	56	44	67
YDR233C	52	79	62	55	52	59
YDR234W	87	100	96	30	38	41
YDR235W	19	27	18	18	16	25
YDR236C	17	18	11	12	18	26
YDR237W	46	37	49	19	17	22
YDR238C	103	113	105	84	80	101
YDR239C	19	20	30	12	16	32
YDR240C	12	22	13	15	12	20
YDR241W	1	4	1	1	1	5
tY(GUA)D	0	0	0	0	0	0
YDR242W	19	26	27	19	12	42
YDR243C	6	12	6	13	16	21
YDR244W	30	47	49	54	44	52
YDR245W	53	46	35	43	20	43
YDR246W	12	14	19	18	14	20
YDR246W-A	0	0	0	2	0	3
YDR247W	21	24	19	28	24	46
YDR248C	18	18	27	24	14	31
YDR249C	10	6	6	5	4	10
YDR250C	2	1	0	0	1	1
YDR251W	47	52	42	37	39	52
YDR252W	4	4	6	7	6	8
YDR253C	23	31	26	16	21	19
YDR254W	25	19	24	18	17	24
YDR255C	24	27	27	26	24	24
YDR256C	14	26	34	155	141	138
YDR257C	20	16	22	14	20	16
YDR258C	155	153	126	141	133	183
YDR259C	25	17	19	10	4	11
YDR260C	4	8	15	10	11	18
YDR261C	35	30	25	4	11	18
tS(AGA)D2	0	0	0	0	0	0
YDR261W-B	4	3	5	2	1	2
YDR261W-A	0	0	0	0	0	0
YDR261C-D	3	2	2	3	1	1
YDR261C-C	0	0	0	0	0	0
tG(GCC)D2	0	2	1	1	0	2
YDR262W	26	36	33	46	47	64
YDR263C	13	11	9	5	7	10
YDR264C	58	60	57	49	55	62
YDR265W	16	24	13	21	23	25
YDR266C	33	29	38	17	14	23
YDR267C	29	23	32	24	16	27
YDR268W	30	21	17	11	7	7
YDR269C	0	0	0	0	0	0
YDR270W	18	21	25	25	27	30
YDR271C	0	0	0	0	0	0
YDR272W	33	34	37	33	33	49
YDR273W	7	7	9	5	7	9
YDR274C	6	7	5	9	10	7
YDR275W	17	32	25	27	27	40
YDR276C	15	14	23	33	16	15
YDR277C	33	31	33	29	35	59
YDR278C	0	1	0	0	1	0
tE(CUC)D	0	0	0	0	0	0
YDR279W	25	28	19	15	17	30
YDR280W	19	27	17	17	21	28
YDR281C	7	3	2	0	0	5
YDR282C	22	21	7	7	14	13
YDR283C	34	39	29	49	41	54
YDR284C	29	28	24	30	25	39
YDR285W	18	14	10	12	12	28
YDR286C	17	14	5	10	7	11
YDR287W	21	15	20	24	23	29
YDR288W	13	12	9	16	12	29
YDR289C	22	30	26	29	26	33
YDR290W	0	0	0	0	0	0
YDR291W	30	26	28	18	23	35
YDR292C	58	69	43	41	48	43
YDR293C	81	101	89	136	125	195
YDR294C	44	50	45	58	65	86
YDR295C	36	41	34	19	24	36
YDR296W	34	45	42	15	13	15
YDR297W	44	57	40	21	28	29
YDR298C	54	46	54	44	45	48
YDR299W	28	24	23	16	18	14
YDR300C	34	53	22	23	23	21
YDR301W	18	34	32	17	17	24
YDR302W	16	18	21	20	12	10
YDR303C	34	54	30	23	28	30
YDR304C	38	65	36	27	28	48
YDR305C	14	19	15	17	16	31
YDR306C	18	30	19	34	41	51
tV(CAC)D	0	0	0	1	0	0
YDR307W	50	31	30	30	39	54
YDR308C	16	19	14	10	7	20
YDR309C	34	34	26	1	2	6
YDR310C	54	53	30	56	67	78
YDR311W	20	20	18	20	37	33
YDR312W	30	23	30	15	17	24
YDR313C	20	26	27	23	37	46
YDR314C	5	19	6	11	17	14
YDR315C	6	16	15	6	13	21
YDR316W	64	66	46	21	15	20
tF(GAA)D	0	0	0	0	0	0
YDR316W-B	0	0	0	0	0	0
YDR316W-A	0	0	0	0	0	0
YDR317W	11	12	12	11	13	17
YDR318W	24	25	14	17	11	27
YDR319C	26	19	17	26	22	31
YDR320C	16	25	27	22	17	27
YDR320C-A	10	10	6	12	6	16
YDR320W-B	0	0	0	0	0	0
YDR321W	28	24	17	13	21	27
YDR322W	39	43	54	20	9	21
YDR322C-A	33	34	20	14	14	22
YDR323C	13	10	12	11	10	25
YDR324C	26	30	36	25	27	34
YDR325W	42	53	39	33	35	31
YDR326C	35	58	43	21	25	31
YDR327W	4	2	4	4	4	8
YDR328C	14	16	17	27	25	34
YDR329C	29	46	46	65	43	69
YDR330W	24	24	37	40	32	60
YDR331W	20	33	12	17	16	12
YDR332W	28	18	18	14	22	32
YDR333C	33	31	39	18	27	52
YDR334W	51	63	45	52	49	70
YDR335W	85	88	58	52	68	97
YDR336W	9	13	8	14	9	10
YDR337W	49	42	39	21	16	21
YDR338C	16	27	35	25	26	32
YDR339C	20	22	8	13	12	22
tX(XXX)D	0	0	0	0	0	0
YDR340W	3	0	2	2	2	1
YDR341C	82	90	67	48	70	87
YDR342C	19	14	13	11	10	10
YDR343C	8	7	18	13	15	16
YDR344C	0	0	0	1	0	0
YDR345C	12	18	14	16	15	21
YDR346C	59	72	52	53	57	55
YDR347W	42	55	45	18	14	26
